id,verdict,flags,layer,zone,row,encoded,read,form,confidence,for_this_zone,alternatives,fragment,note,quote,document
00407,agree,noted,or/clackamas/milwaukie,R-MD,min_lot_width_ft [],20,20,feet,inferred,True,"30 ft (3,000-4,999 sq ft lot column) | 50 ft (5,000-6,999 sq ft lot column) | 60 ft (7,000 and up lot column)",1. Minimum lot width (ft) / 20,"20 is the first of the four lot-size columns (1,500-2,999 sq ft), the townhouse-lot band.",or/clackamas/milwaukie/19.300.base-zones.txt#L142,or/clackamas/milwaukie/19.300.base-zones.txt
00408,agree,noted,or/clackamas/milwaukie,R-MD,min_lot_width_ft [],30,30,feet,inferred,True,"20 ft (1,500-2,999 sq ft lot column) | 50 ft (5,000-6,999 sq ft lot column) | 60 ft (7,000 and up lot column)",1. Minimum lot width (ft) / 30,"30 is the second of the four lot-size columns (3,000-4,999 sq ft).",or/clackamas/milwaukie/19.300.base-zones.txt#L143,or/clackamas/milwaukie/19.300.base-zones.txt
00409,agree,noted,or/clackamas/milwaukie,R-MD,min_lot_width_ft [],50,50,feet,inferred,True,"20 ft (1,500-2,999 sq ft lot column) | 30 ft (3,000-4,999 sq ft lot column) | 60 ft (7,000 and up lot column)",1. Minimum lot width (ft) / 50,"50 is the third of the four lot-size columns (5,000-6,999 sq ft).",or/clackamas/milwaukie/19.300.base-zones.txt#L144,or/clackamas/milwaukie/19.300.base-zones.txt
00410,agree,noted,or/clackamas/milwaukie,R-MD,max_coverage_pct,30,30,percent,inferred,True,"45% (1,500-2,999 sq ft lot column) | 35% (3,000-4,999 sq ft lot column) | 35% (5,000-6,999 sq ft lot column)",4. Maximum lot coverage (percent of total lot area) / 30%,"30% is the fourth of the four lot-size columns (7,000 sq ft and up); the row cross-references Subsection 19.301.5.B Lot Coverage, which may modify the figure for specific uses and lot sizes.",or/clackamas/milwaukie/19.300.base-zones.txt#L245,or/clackamas/milwaukie/19.300.base-zones.txt
00411,agree,noted,or/clackamas/milwaukie,R-MD,max_coverage_pct [],45,45,percent,inferred,True,"35% (3,000-4,999 sq ft lot column) | 35% (5,000-6,999 sq ft lot column) | 30% (7,000 and up lot column)",4. Maximum lot coverage (percent of total lot area) / 45%,"45% is the first of the four lot-size columns (1,500-2,999 sq ft); Subsection 19.301.5.B Lot Coverage is cross-referenced and may modify it.",or/clackamas/milwaukie/19.300.base-zones.txt#L242,or/clackamas/milwaukie/19.300.base-zones.txt
00412,agree,noted,or/clackamas/milwaukie,R-MD,max_coverage_pct [],35,35,percent,inferred,True,"45% (1,500-2,999 sq ft lot column) | 35% (5,000-6,999 sq ft lot column) | 30% (7,000 and up lot column)",4. Maximum lot coverage (percent of total lot area) / 35%,"L243 is the second of the four lot-size columns (3,000-4,999 sq ft); Subsection 19.301.5.B Lot Coverage is cross-referenced and may modify it.",or/clackamas/milwaukie/19.300.base-zones.txt#L243,or/clackamas/milwaukie/19.300.base-zones.txt
00413,agree,noted,or/clackamas/milwaukie,R-MD,max_coverage_pct [],35,35,percent,inferred,True,"45% (1,500-2,999 sq ft lot column) | 35% (3,000-4,999 sq ft lot column) | 30% (7,000 and up lot column)",4. Maximum lot coverage (percent of total lot area) / 35%,"L244 is the third of the four lot-size columns (5,000-6,999 sq ft); Subsection 19.301.5.B Lot Coverage is cross-referenced and may modify it.",or/clackamas/milwaukie/19.300.base-zones.txt#L244,or/clackamas/milwaukie/19.300.base-zones.txt
00414,agree,,or/clackamas/milwaukie,R-MD,max_height_ft,35,35,feet,clear,True,,2. Maximum building height for primary structures / 35 ft,,or/clackamas/milwaukie/19.300.base-zones.txt#L224,or/clackamas/milwaukie/19.300.base-zones.txt
00415,agree,noted,or/clackamas/milwaukie,R-MD,max_density_du_per_acre [unit_lots],25,25,units per acre (lesser of this and 4x the single-detached maximum),inferred,True,"4 times the maximum density allowed for single detached dwellings in the same zone, if that is less than 25","Townhouses are allowed at 4 times the maximum density allowed for single detached dwellings in the same zone or 25 dwelling units per acre, whichever is less.","The governing figure is the lesser of 25 du/acre and 4x the single-detached maximum, which this passage does not state; the same footnote exempts duplexes, triplexes and quadplexes from density maximums, so the one-lot case has no cap.",or/clackamas/milwaukie/19.300.base-zones.txt#L283,or/clackamas/milwaukie/19.300.base-zones.txt
00416,agree,noted,or/clackamas/milwaukie,R-HD,setback_front_ft,20,20,feet,clear,True,5 ft for properties identified in Figure 19.302.4 (L514),Front yard  20,A mapped subset (Figure 19.302.4) has a 5 ft front yard; 20 is the table's general figure.,or/clackamas/milwaukie/19.300.base-zones.txt#L495,or/clackamas/milwaukie/19.300.base-zones.txt
00417,agree,noted,or/clackamas/milwaukie,R-HD,setback_side_ft,5.0,5,feet,clear,True,0 ft on a townhouse common wall (L530),The side yard for development other than a townhouse shall be at least 5 ft. ... zero ft for the common wall and 5 ft for the opposite side yard.,"Both cited lines give 5 ft for the exterior side: non-townhouse development is 5 ft, and an exterior townhouse is 0 ft on the common wall and 5 ft on the opposite side; interior townhouses sharing two walls have no side yard.","or/clackamas/milwaukie/19.300.base-zones.txt#L526,L530",or/clackamas/milwaukie/19.300.base-zones.txt
00418,agree,noted,or/clackamas/milwaukie,R-HD,setback_side_ft [step-back],25.0,25,feet (height above ground at the minimum side yard where a 45-degree plane begins),clear,True,"45 (slope of plane, degrees)",Side yard height plane limit / Height above ground at minimum required side yard depth (ft)  25 / Slope of plane (degrees)  45,"This is a side-yard height plane starting 25 ft above ground at the required side yard and rising at 45 degrees, not a fixed-storey step-back.",or/clackamas/milwaukie/19.300.base-zones.txt#L500-L502,or/clackamas/milwaukie/19.300.base-zones.txt
00419,agree,,or/clackamas/milwaukie,R-HD,setback_rear_ft,15,15,feet,clear,True,,Rear yard  15,,or/clackamas/milwaukie/19.300.base-zones.txt#L498,or/clackamas/milwaukie/19.300.base-zones.txt
00420,agree,noted,or/clackamas/milwaukie,R-HD,setback_street_side_ft,15,15,feet,clear,True,"5 ft for townhouses (footnote 4, L512)",Street side yard  15[4],Footnote 4 sets 5 ft for townhouses; 15 is the general figure.,or/clackamas/milwaukie/19.300.base-zones.txt#L497,or/clackamas/milwaukie/19.300.base-zones.txt
00421,agree,,or/clackamas/milwaukie,R-HD,setback_street_side_ft [unit_lots],5,5,feet,clear,True,"15 ft (table row Street side yard, the non-townhouse base)",4  The street side yard setback for townhouses is 5 ft.,,or/clackamas/milwaukie/19.300.base-zones.txt#L512,or/clackamas/milwaukie/19.300.base-zones.txt
00422,agree,noted,or/clackamas/milwaukie,R-HD,min_lot_sqft,3000,3000,square feet (lower bound of a lot-size band),inferred,True,"1,500 (Table 19.302.4 Minimum lot size row, L485) | 5,000 (All other uses, L480)","Between 3,000 to 4,999 sq ft: Duplex, Triplex, and Quadplex.","Stated as the lot-size band in which a quadplex is permitted, not as a row labelled minimum lot size; the table's own Minimum lot size row prints 1,500, which is the townhouse floor.",or/clackamas/milwaukie/19.300.base-zones.txt#L476,or/clackamas/milwaukie/19.300.base-zones.txt
00423,agree,noted,or/clackamas/milwaukie,R-HD,min_lot_sqft [unit_lots],1500,1500,square feet (lower bound of a lot-size band),inferred,True,"3,000 (Duplex, Triplex, and Quadplex band -- the one-lot base figure)","Between 1,500 to 2,999 sq ft: Townhouse; a townhouse is permitted on a corner lot up to 3,500 sq ft in area.","The 3,500 sq ft corner-lot figure is a ceiling on townhouse lot size, not the minimum; Table 19.302.4 L485 also prints 1,500 as minimum lot size.",or/clackamas/milwaukie/19.300.base-zones.txt#L475,or/clackamas/milwaukie/19.300.base-zones.txt
00424,agree,,or/clackamas/milwaukie,R-HD,min_lot_width_ft,20,20,feet,clear,True,,Minimum lot width (ft)  20,,or/clackamas/milwaukie/19.300.base-zones.txt#L486,or/clackamas/milwaukie/19.300.base-zones.txt
00425,agree,,or/clackamas/milwaukie,R-HD,max_height_ft,45,45,feet,clear,True,,Maximum building height for primary structures  45 ft,,or/clackamas/milwaukie/19.300.base-zones.txt#L499,or/clackamas/milwaukie/19.300.base-zones.txt
00426,agree,noted,or/clackamas/milwaukie,R-HD,max_coverage_pct,50,50,percent,clear,True,,Maximum lot coverage (percent of total lot area)  50%,"Subsection 19.302.5.B modifies lot coverage for specific uses and lot sizes with additive reductions and increases (L536), so 50 is the unmodified table figure.",or/clackamas/milwaukie/19.300.base-zones.txt#L503,or/clackamas/milwaukie/19.300.base-zones.txt
00427,agree,noted,or/clackamas/milwaukie,R-HD,max_density_du_per_acre [unit_lots],25,25,units per acre (lesser of this and 4x the single-detached maximum),inferred,True,"32.0 (Table 19.302.4 Maximum[2,3] row, L507) | 4 times the single-detached maximum density in the zone, if less than 25","2  Townhouses are allowed at 4 times the maximum density allowed for single detached dwellings in the same zone or 25 dwelling units per acre, whichever is less.","The governing figure is the lesser of 25 and 4x the single-detached maximum; the table's own Maximum row prints 32.0, and quadplexes on one lot are exempt from density maximums.",or/clackamas/milwaukie/19.300.base-zones.txt#L510,or/clackamas/milwaukie/19.300.base-zones.txt
00428,agree,noted,or/clackamas/oregon-city,defaults,parking_stall_width_ft,9,9,feet,inferred,True,"8 ft (Compact stall at 90 degrees; up to 35 percent of required parking may be compact) | 8.5 ft (Standard stall at 45 degrees, and the 0-degree row)",90 d e g ree s S tanda r d 9 ' 19. o' 24 ' 9 ' 1. 5,"OCR-garbled table; column B Stall Width for the 90-degree Standard row reads 9 ft, and the same 9 ft appears in the 30- and 60-degree Standard rows.",or/clackamas/oregon-city/17.zoning.txt#L15070-L15131,or/clackamas/oregon-city/17.zoning.txt
00429,agree,noted,or/clackamas/oregon-city,defaults,parking_stall_depth_ft,19,19,feet,inferred,True,"16 ft (Compact stall at 90 degrees) | 1.5 ft overhang printed separately in column F, not subtracted",90 d e g ree s S tanda r d 9 ' 19. o' 24 ' 9 ' 1. 5,"Column C Stall to Curb at 90 degrees Standard prints '19. o'', read as 19.0 ft; the Overhang column F shows 1.5 ft separately.",or/clackamas/oregon-city/17.zoning.txt#L15070-L15131,or/clackamas/oregon-city/17.zoning.txt
00430,agree,unclear+noted,or/clackamas/oregon-city,defaults,parking_aisle_one_way_ft,24,24,feet,unclear,True,"22 ft (Aisle Width for Compact stalls at 90 degrees) | 12 ft (Aisle Width at 0 degrees / parallel) | 11 ft (30 degrees), 13 ft (45 degrees), 18 ft (60 degrees)",90 d e g ree s S tanda r d 9 ' 19. o' 24 ' 9 ' 1. 5,"The table prints a single Aisle Width column per angle with no one-way/two-way distinction, so 24 ft at 90 degrees is the only figure available for a one-way aisle as well.",or/clackamas/oregon-city/17.zoning.txt#L15070-L15131,or/clackamas/oregon-city/17.zoning.txt
00431,agree,noted,or/clackamas/oregon-city,defaults,parking_aisle_two_way_ft,24,24,feet,inferred,True,22 ft (Aisle Width for Compact stalls at 90 degrees),90 d e g ree s S tanda r d 9 ' 19. o' 24 ' 9 ' 1. 5,Single Aisle Width column with no direction distinction; 24 ft is the 90-degree Standard row.,or/clackamas/oregon-city/17.zoning.txt#L15070-L15131,or/clackamas/oregon-city/17.zoning.txt
00432,agree,noted,or/clackamas/oregon-city,defaults,driveway_approach_min_width_ft,10,10,feet,clear,True,"10 feet (Townhouses row) | 18 feet minimum where the driveway is shared by middle housing structures (note 1, L1109-L1110)","Triplexes, quadplexes and cot - 10 feet 36 feet / tage clusters","Row used: Triplexes, quadplexes and cottage clusters; note 1 raises the minimum to eighteen feet for shared driveways serving middle housing structures.",or/clackamas/oregon-city/16.12.streets.txt#L1092-L1104,or/clackamas/oregon-city/16.12.streets.txt
00433,agree,noted,or/clackamas/oregon-city,defaults,driveway_approach_max_width_ft,36,36,feet,clear,True,24 feet (Townhouses row) | 36 feet maximum for shared middle housing driveways (note 1),"Triplexes, quadplexes and cot - 10 feet 36 feet / tage clusters","Row used: Triplexes, quadplexes and cottage clusters; the Townhouses row prints 24 feet.",or/clackamas/oregon-city/16.12.streets.txt#L1092-L1104,or/clackamas/oregon-city/16.12.streets.txt
00434,agree,noted,or/clackamas/oregon-city,defaults,driveway_approach_max_width_ft [unit_lots],24,24,feet,clear,True,"36 feet (Triplexes, quadplexes and cottage clusters row -- the one-lot base figure) | 36 feet maximum for shared middle housing driveways (note 1)",Townhouses 10 feet 24 feet,Row used: Townhouses (unit lots).,or/clackamas/oregon-city/16.12.streets.txt#L1092-L1104,or/clackamas/oregon-city/16.12.streets.txt
00435,agree,noted,or/clackamas/oregon-city,defaults,parking_area_max_width_ft,40,40,feet,clear,True,"fifty percent of the lot frontage, whichever is less","Outdoor on-site parking and maneuvering areas shall not exceed a total of forty feet wide or fifty percent of the lot frontage, whichever is less",Binds only when it is less than 50 percent of the lot frontage; 'forty' is spelled out.,or/clackamas/oregon-city/17.zoning.txt#L5417-L5432,or/clackamas/oregon-city/17.zoning.txt
00436,agree,,or/clackamas/oregon-city,defaults,parking_area_max_frontage_pct,50,50,percent,clear,True,"forty feet, whichever is less","shall not exceed a total of forty feet wide or fifty percent of the lot frontage, whichever is less",,or/clackamas/oregon-city/17.zoning.txt#L5417-L5432,or/clackamas/oregon-city/17.zoning.txt
00437,agree,noted,or/clackamas/oregon-city,defaults,parking_maneuvering_max_width_ft [unit_lots],12,12,feet,clear,True,"forty feet or fifty percent of lot frontage, whichever is less (17.16.030.D, the one-lot residential case)",2. Outdoor on-site parking and maneuvering areas shall not exceed twelve feet wide on any lot.,Applies under 17.16.040.A where townhouses front a public street with garages or parking in front; 17.16.040.B offers a rear-access alternative without this cap; 'twelve' is spelled out.,or/clackamas/oregon-city/17.zoning.txt#L5323-L5345,or/clackamas/oregon-city/17.zoning.txt
00438,agree,noted,or/clackamas/oregon-city,R-10,setback_front_ft,20,20,feet,inferred,unknown,15 feet with a porch (first-column exception) | 15 feet (second column) | 10 feet (third column) | 10 feet (Except cottage cluster row),"Mi nimum front yard 20 feet, except 15 feet , except 10 feet , except / setback: All 15 feet - - Porch 1 0 feet - - Porch 5 feet - - Porch","The header row naming the three columns is not in the passage; 20 ft is the first column, which the descending lot width/depth (65/80 ft) and the chapter number 17.08 suggest is R-10, but the page shown does not confirm it.",or/clackamas/oregon-city/17.zoning.txt#L4138,or/clackamas/oregon-city/17.zoning.txt
00439,agree,noted,or/clackamas/oregon-city,R-10,setback_side_ft,8,8,feet,inferred,unknown,7 feet (second column) | 5 feet (third column) | 0 feet (attached)/8 feet (side) for the Except townhouse row,Minimum interior side / yard setback: All 8 feet 7 feet 5 feet,"Row used is All (one-lot quadplex); the Except townhouse row gives 0 ft on the attached wall and 8 ft on the exterior side; the column header naming R-10 is not visible in the passage, so 8 is the first column by position.",or/clackamas/oregon-city/17.zoning.txt#L4143,or/clackamas/oregon-city/17.zoning.txt
00440,agree,noted,or/clackamas/oregon-city,R-10,setback_rear_ft,20,20,feet,inferred,True,15 ft for a porch | 10 ft for an ADU or cottage cluster,"20 feet , exce pt 20 feet, except 20 feet , except | 15 feet - - Porch | Minimum rea r yard 10 feet - - ADU , | setback cottage cluster","The marked line carries no row label; it is the first line of the 'Minimum rear yard setback' cell whose label prints two lines lower (L4151-52), the same 20 / 15 porch / 10 ADU pattern the R-5 table prints on one line, while the corner side yard directly above is 10 ft.",or/clackamas/oregon-city/17.zoning.txt#L4149,or/clackamas/oregon-city/17.zoning.txt
00441,agree,,or/clackamas/oregon-city,R-10,setback_street_side_ft,10,10,feet,clear,True,,Minimum corner side | yard setback 10 feet 10 feet 10 feet,,or/clackamas/oregon-city/17.zoning.txt#L4148,or/clackamas/oregon-city/17.zoning.txt
00442,agree,noted,or/clackamas/oregon-city,R-10,min_lot_sqft,10000,10000,square feet,clear,True,"1,500 sq ft per townhouse lot","Quad pl ex a nd co t tage 1 0 , 000 squ are 8 , 000 squ are 7 , 000 s qu are | cl uster f eet","Row 'Quadplex and cottage cluster', R-10 column; the 'Minimum lot size' heading carries footnote marker 1 whose text is not in the passage.",or/clackamas/oregon-city/17.zoning.txt#L4118,or/clackamas/oregon-city/17.zoning.txt
00443,agree,noted,or/clackamas/oregon-city,R-10,min_lot_sqft [unit_lots],1500,1500,square feet,clear,True,"10,000 sq ft for a quadplex on one lot","1, 500 s quare 1, 500 square 1, 500 square | Townho u se f eet feet feet","Row 'Townhouse' (per unit lot), same in all three columns; footnote 1 on 'Minimum lot size' is not in the passage.",or/clackamas/oregon-city/17.zoning.txt#L4120-L4121,or/clackamas/oregon-city/17.zoning.txt
00444,agree,,or/clackamas/oregon-city,R-10,min_lot_width_ft,65,65,feet,clear,True,20 ft except townhouse,Minimum lot width: | All 65 feet 60 feet 50 feet,,or/clackamas/oregon-city/17.zoning.txt#L4133,or/clackamas/oregon-city/17.zoning.txt
00445,agree,,or/clackamas/oregon-city,R-10,max_coverage_pct,40,40,percent,clear,True,45% with an ADU,"Maximum bu ildi n g lot | coverage 4 0% I 40% , 4 0% , | With ADU except 45% exce p t 45% e x cept 45%",,or/clackamas/oregon-city/17.zoning.txt#L4126,or/clackamas/oregon-city/17.zoning.txt
00446,agree,,or/clackamas/oregon-city,R-10,max_height_ft,35,35,feet,clear,True,25 ft for a cottage cluster unit,Maxim um h eight: All 35 feet 35 fee t 35 fee t,,or/clackamas/oregon-city/17.zoning.txt#L4122,or/clackamas/oregon-city/17.zoning.txt
00447,agree,noted,or/clackamas/oregon-city,R-10,min_density_du_per_acre,3.5,3.5,dwelling units per net acre,clear,True,4 du/acre except cottage clusters,Standard R-10 R-8 R-6 | Minimum net density: All 3.5 du / acre 4.4 du / acre 5.8 du /a cre,Stated as NET density; accessory dwelling units do not count toward it (17.08.050.B.1).,or/clackamas/oregon-city/17.zoning.txt#L4184-L4186,or/clackamas/oregon-city/17.zoning.txt
00448,unread,unclear+noted,or/clackamas/oregon-city,R-10,setback_garage_entrance_ft,20,,,unclear,unknown,"20 ft no parking or vehicle area from street property line, cottage clusters only (L5703)",Garages and carports must not abut common courtyards. Garage doors for individual garages must not exceed 20 feet in width.,"The marked lines state a cottage-cluster garage-door WIDTH maximum (20 ft), not a garage entrance setback, and section 17.16.070 is cottage clusters with no zone named.",or/clackamas/oregon-city/17.zoning.txt#L5706-L5707,or/clackamas/oregon-city/17.zoning.txt
00449,agree,,or/clackamas/oregon-city,R-8,setback_front_ft,15,15,feet,clear,True,10 ft for a porch | 10 ft for a cottage cluster,"Mi nimum front yard 20 feet, except 15 feet , except 10 feet , except | setback: All 15 feet - - Porch 1 0 feet - - Porch 5 feet - - Porch",,or/clackamas/oregon-city/17.zoning.txt#L4138,or/clackamas/oregon-city/17.zoning.txt
00450,agree,,or/clackamas/oregon-city,R-8,setback_side_ft,7,7,feet,clear,True,0 ft on the attached side / 7 ft on the end side for townhouses,Minimum interior side | yard setback: All 8 feet 7 feet 5 feet,,or/clackamas/oregon-city/17.zoning.txt#L4143,or/clackamas/oregon-city/17.zoning.txt
00451,agree,noted,or/clackamas/oregon-city,R-8,setback_rear_ft,20,20,feet,inferred,True,15 ft for a porch | 10 ft for an ADU or cottage cluster,"20 feet , exce pt 20 feet, except 20 feet , except | 15 feet - - Porch | Minimum rea r yard 10 feet - - ADU, | setback cottage cluster","The marked line carries no row label; it is the first line of the 'Minimum rear yard setback' cell whose label prints two lines lower (L4151-52), the same 20 / 15 porch / 10 ADU pattern the R-5 table prints on one line, while the corner side yard directly above is 10 ft.",or/clackamas/oregon-city/17.zoning.txt#L4149,or/clackamas/oregon-city/17.zoning.txt
00452,agree,,or/clackamas/oregon-city,R-8,setback_street_side_ft,10,10,feet,clear,True,,Minimum corner side | yard setback 10 feet 10 feet 10 feet,,or/clackamas/oregon-city/17.zoning.txt#L4148,or/clackamas/oregon-city/17.zoning.txt
00453,agree,noted,or/clackamas/oregon-city,R-8,min_lot_sqft,8000,8000,square feet,clear,True,"1,500 sq ft per townhouse lot","Quad pl ex a nd co t tage 1 0 , 000 squ are 8 , 000 squ are 7 , 000 s qu are | cl uster f eet","Row 'Quadplex and cottage cluster', R-8 (middle) column; the 'Minimum lot size' heading carries footnote marker 1 whose text is not in the passage.",or/clackamas/oregon-city/17.zoning.txt#L4118,or/clackamas/oregon-city/17.zoning.txt
00454,agree,noted,or/clackamas/oregon-city,R-8,min_lot_sqft [unit_lots],1500,1500,square feet,clear,True,"8,000 sq ft for a quadplex on one lot","1, 500 s quare 1, 500 square 1, 500 square | Townho u se f eet feet feet","Row 'Townhouse' (per unit lot), same in all three columns; footnote 1 on 'Minimum lot size' is not in the passage.",or/clackamas/oregon-city/17.zoning.txt#L4120-L4121,or/clackamas/oregon-city/17.zoning.txt
00455,agree,,or/clackamas/oregon-city,R-8,min_lot_width_ft,60,60,feet,clear,True,20 ft except townhouse,Minimum lot width: | All 65 feet 60 feet 50 feet,,or/clackamas/oregon-city/17.zoning.txt#L4133,or/clackamas/oregon-city/17.zoning.txt
00456,agree,,or/clackamas/oregon-city,R-8,max_coverage_pct,40,40,percent,clear,True,45% with an ADU,"Maximum bu ildi n g lot | coverage 4 0% I 40% , 4 0% , | With ADU except 45% exce p t 45% e x cept 45%",,or/clackamas/oregon-city/17.zoning.txt#L4126,or/clackamas/oregon-city/17.zoning.txt
00457,agree,,or/clackamas/oregon-city,R-8,max_height_ft,35,35,feet,clear,True,25 ft for a cottage cluster unit,Maxim um h eight: All 35 feet 35 fee t 35 fee t,,or/clackamas/oregon-city/17.zoning.txt#L4122,or/clackamas/oregon-city/17.zoning.txt
00458,agree,noted,or/clackamas/oregon-city,R-8,min_density_du_per_acre,4.4,4.4,dwelling units per net acre,clear,True,,Standard R-10 R-8 R-6 | Minimum net density: All 3.5 du / acre 4.4 du / acre 5.8 du /a cre,Stated as NET density; accessory dwelling units do not count toward it (17.08.050.B.1).,or/clackamas/oregon-city/17.zoning.txt#L4184-L4186,or/clackamas/oregon-city/17.zoning.txt
00459,unread,unclear+noted,or/clackamas/oregon-city,R-8,setback_garage_entrance_ft,20,,,unclear,unknown,"20 ft no parking or vehicle area from street property line, cottage clusters only (L5703)",Garages and carports must not abut common courtyards. Garage doors for individual garages must not exceed 20 feet in width.,"The marked lines state a cottage-cluster garage-door WIDTH maximum (20 ft), not a garage entrance setback, and section 17.16.070 is cottage clusters with no zone named.",or/clackamas/oregon-city/17.zoning.txt#L5706-L5707,or/clackamas/oregon-city/17.zoning.txt
00460,agree,,or/clackamas/oregon-city,R-6,setback_front_ft,10,10,feet,clear,True,5 ft for a porch | 10 ft for a cottage cluster,"Mi nimum front yard 20 feet, except 15 feet , except 10 feet , except | setback: All 15 feet - - Porch 1 0 feet - - Porch 5 feet - - Porch",,or/clackamas/oregon-city/17.zoning.txt#L4138,or/clackamas/oregon-city/17.zoning.txt
00461,agree,,or/clackamas/oregon-city,R-6,setback_side_ft,5,5,feet,clear,True,0 ft on the attached side / 5 ft on the end side for townhouses,Minimum interior side | yard setback: All 8 feet 7 feet 5 feet,,or/clackamas/oregon-city/17.zoning.txt#L4143,or/clackamas/oregon-city/17.zoning.txt
00462,agree,noted,or/clackamas/oregon-city,R-6,setback_rear_ft,20,20,feet,inferred,True,15 ft for a porch | 10 ft for an ADU or cottage cluster,"20 feet , exce pt 20 feet, except 20 feet , except | 15 feet - - Porc h | Minimum rea r yard 10 feet - - ADU , | setback cottage cluster","The marked line carries no row label; it is the first line of the 'Minimum rear yard setback' cell whose label prints two lines lower (L4151-52), the same 20 / 15 porch / 10 ADU pattern the R-5 table prints on one line, while the corner side yard directly above is 10 ft.",or/clackamas/oregon-city/17.zoning.txt#L4149,or/clackamas/oregon-city/17.zoning.txt
00463,agree,,or/clackamas/oregon-city,R-6,setback_street_side_ft,10,10,feet,clear,True,,Minimum corner side | yard setback 10 feet 10 feet 10 feet,,or/clackamas/oregon-city/17.zoning.txt#L4148,or/clackamas/oregon-city/17.zoning.txt
00464,agree,noted,or/clackamas/oregon-city,R-6,min_lot_sqft,7000,7000,square feet,clear,True,"6,000 sq ft in the single-family detached, duplex and triplex row | 1,500 sq ft per townhouse lot","Quad pl ex a nd co t tage 1 0 , 000 squ are 8 , 000 squ are 7 , 000 s qu are | cl uster f eet","Row 'Quadplex and cottage cluster', R-6 column, is 7,000, larger than the 6,000 in the detached/duplex/triplex row; the 'Minimum lot size' heading carries footnote marker 1 whose text is not in the passage.",or/clackamas/oregon-city/17.zoning.txt#L4118,or/clackamas/oregon-city/17.zoning.txt
00465,agree,noted,or/clackamas/oregon-city,R-6,min_lot_sqft [unit_lots],1500,1500,square feet,clear,True,"7,000 sq ft for a quadplex on one lot","1, 500 s quare 1, 500 square 1, 500 square | Townho u se f eet feet feet","Row 'Townhouse' (per unit lot), same in all three columns; footnote 1 on 'Minimum lot size' is not in the passage.",or/clackamas/oregon-city/17.zoning.txt#L4120-L4121,or/clackamas/oregon-city/17.zoning.txt
00466,agree,,or/clackamas/oregon-city,R-6,min_lot_width_ft,50,50,feet,clear,True,20 ft except townhouse,Minimum lot width: | All 65 feet 60 feet 50 feet,,or/clackamas/oregon-city/17.zoning.txt#L4133,or/clackamas/oregon-city/17.zoning.txt
00467,agree,,or/clackamas/oregon-city,R-6,max_coverage_pct,40,40,percent,clear,True,45% with an ADU,"Maximum bu ildi n g lot | coverage 4 0% I 40% , 4 0% , | With ADU except 45% exce p t 45% e x cept 45%",,or/clackamas/oregon-city/17.zoning.txt#L4126,or/clackamas/oregon-city/17.zoning.txt
00468,agree,,or/clackamas/oregon-city,R-6,max_height_ft,35,35,feet,clear,True,25 ft for a cottage cluster unit,Maxim um h eight: All 35 feet 35 fee t 35 fee t,,or/clackamas/oregon-city/17.zoning.txt#L4122,or/clackamas/oregon-city/17.zoning.txt
00469,agree,noted,or/clackamas/oregon-city,R-6,min_density_du_per_acre,5.8,5.8,dwelling units per net acre,clear,True,,Standard R-10 R-8 R-6 | Minimum net density: All 3.5 du / acre 4.4 du / acre 5.8 du /a cre,Stated as NET density; accessory dwelling units do not count toward it (17.08.050.B.1).,or/clackamas/oregon-city/17.zoning.txt#L4184-L4186,or/clackamas/oregon-city/17.zoning.txt
00470,unread,unclear+noted,or/clackamas/oregon-city,R-6,setback_garage_entrance_ft,20,,,unclear,unknown,"20 ft no parking or vehicle area from street property line, cottage clusters only (L5703)",Garages and carports must not abut common courtyards. Garage doors for individual garages must not exceed 20 feet in width.,"The marked lines state a cottage-cluster garage-door WIDTH maximum (20 ft), not a garage entrance setback, and section 17.16.070 is cottage clusters with no zone named.",or/clackamas/oregon-city/17.zoning.txt#L5706-L5707,or/clackamas/oregon-city/17.zoning.txt
00471,agree,,or/clackamas/oregon-city,R-5,setback_front_ft,10,10,feet,clear,True,5 ft for a porch,"Minimum front yard setback 10 feet, except 5 feet, except | 5 feet - - Porch 0 feet - - Porch",,or/clackamas/oregon-city/17.zoning.txt#L4331,or/clackamas/oregon-city/17.zoning.txt
00472,agree,,or/clackamas/oregon-city,R-5,setback_side_ft,5,5,feet,clear,True,0 ft on the attached side / 5 ft on the end side for townhouses,"Minimum interior side yard 5 feet, except 5 feet, except | setback | All, except 0 feet (attached)/5 | feet (side) | Townhouse",,or/clackamas/oregon-city/17.zoning.txt#L4333,or/clackamas/oregon-city/17.zoning.txt
00473,agree,,or/clackamas/oregon-city,R-5,setback_rear_ft,20,20,feet,clear,True,15 ft for a porch | 10 ft for an ADU or cottage cluster,"Minimum rear yard setback 20 feet, except 20 feet, except | 15 feet - - Porch 15 feet - - Porch | 10 feet -- ADU, cot- 10 feet - Cottage | tage cluster cluster",,or/clackamas/oregon-city/17.zoning.txt#L4340,or/clackamas/oregon-city/17.zoning.txt
00474,agree,,or/clackamas/oregon-city,R-5,setback_street_side_ft,7,7,feet,clear,True,,Minimum corner side yard set- 7 feet 7 feet | back,,or/clackamas/oregon-city/17.zoning.txt#L4338,or/clackamas/oregon-city/17.zoning.txt
